TIME,O21,O22,PEDAL,THROTTLE,NE,MAP,TA,STFT,LTFT
0,0.64,0,19.22,14.12,851.5,0,0,0,-3.12
1,0.64,0.74,19.22,14.12,851.5,40,11,0,-3.12
2,0.62,0.74,19.22,14.12,851.5,40,10,0,-3.12
3,0.66,0.74,19.22,14.12,851.5,40,10,0,-3.12
4,0.5,0.74,19.61,14.12,847.5,40,10,0,-3.12
5,0.38,0.74,19.22,14.12,851.5,40,11,-0.78,-3.12
6,0.32,0.74,19.22,14.12,843.75,40,11,-0.78,-3.12
7,0.32,0.74,19.22,14.12,843.75,40,11,-0.78,-3.12
8,0.14,0.74,19.22,14.12,839.75,40,11,-0.78,-3.12
9,0.1,0.74,19.22,14.12,835.75,41,12,-0.78,-3.12
10,0.1,0.74,19.22,14.12,832,41,12,0,-3.12
11,0.16,0.74,19.22,14.12,839.75,41,12,0,-3.12
12,0.16,0.74,19.22,14.12,839.75,41,12,0,-3.12
13,0.14,0.74,19.22,14.12,839.75,41,11,0,-3.12
14,0.14,0.74,19.22,14.12,843.75,41,11,0,-3.12
15,0.6,0.74,19.22,14.12,847.5,41,11,0,-3.12
16,0.62,0.74,19.22,14.12,847.5,41,11,0,-3.12
17,0.66,0.74,19.22,14.12,851.5,40,11,0,-3.12
18,0.66,0.74,19.61,14.12,851.5,40,9,0,-3.12
19,0.7,0.74,19.22,14.12,851.5,40,10,0,-3.12
20,0.18,0.74,19.22,14.12,847.5,40,11,-0.78,-3.12
21,0.1,0.74,19.22,14.12,851.5,40,10,0,-3.12
22,0.22,0.74,19.22,14.12,847.5,40,11,0,-3.12
23,0.18,0.74,19.61,14.12,847.5,40,11,0,-3.12
24,0.14,0.74,19.22,14.12,851.5,40,11,0,-3.12
25,0.34,0.74,19.22,14.12,847.5,40,11,0,-3.12
26,0.6,0.74,19.22,14.12,851.5,40,10,0.78,-3.12
27,0.6,0.74,19.61,14.12,851.5,40,10,0,-3.12
28,0.6,0.74,19.61,14.12,851.5,40,10,0,-3.12
29,0.64,0.74,19.22,14.12,851.5,40,10,0,-3.12
30,0.64,0.74,19.22,14.12,851.5,40,9,0,-3.12
31,0.72,0.74,19.22,14.12,855.25,40,10,0,-3.12
32,0.72,0.74,19.61,14.12,847.5,40,10,0,-3.12
33,0.72,0.74,19.61,14.12,847.5,40,10,0,-3.12
34,0.24,0.74,19.61,14.12,847.5,40,10,0,-3.12
35,0.18,0.74,19.61,14.12,843.75,40,11,0,-3.12
36,0.12,0.74,19.61,14.12,843.75,40,11,0,-3.12
37,0.1,0.74,19.61,14.12,843.75,40,11,0,-3.12
38,0.1,0.74,19.22,14.12,843.75,40,11,0,-3.12
39,0.22,0.74,19.22,14.12,851.5,40,11,0,-3.12
40,0.14,0.74,19.22,14.12,851.5,40,11,0.78,-3.12
41,0.2,0.74,19.22,14.12,851.5,40,9,0.78,-3.12
42,0.74,0.74,19.22,14.12,855.25,40,10,0.78,-3.12
43,0.76,0.74,19.61,14.12,851.5,40,9,0.78,-3.12
